"LOCATION_ID","lat","long","classification","EVC","EVH","EVT","HUC_08_ID","hli","soilorder","landform","ocs","cc_pct"
"site_112",61.8812119145647,-151.140513490533,0,103,110,3677,19020504,200,24,6000,96,35
"site_113",60.346979240817,-152.476128654962,0,109,110,3644,19020602,100,24,2000,98,95
"site_114",59.6931853770348,-151.452318725651,0,103,110,3677,19020300,0,3,3000,101,35
"site_115",62.528268413716,-150.858083165206,0,103,110,3600,19020504,200,16,2000,99,35
"site_116",61.6238445856645,-150.008636232542,0,106,110,3679,19020504,200,24,6000,89,65
"site_117",61.1142303249835,-149.654789842127,0,104,109,3679,19020400,200,24,1000,108,45
"site_118",59.8777891679214,-150.997411865773,0,102,110,3677,19020300,0,16,5000,93,25
"site_119",60.1599499986633,-151.088501035582,0,101,109,3677,19020300,0,3,3000,89,15
"site_120",59.8804841137737,-151.444772877264,0,103,110,3677,19020300,200,3,7000,95,35
"site_121",61.476970036711,-151.76574092828,0,102,110,3679,19020600,200,16,7000,106,25
"site_122",60.133270034725,-152.809223962313,0,106,110,3679,19020602,100,16,2000,95,65
"site_123",62.186549279637,-152.282901037348,0,106,110,3679,19020504,100,16,1000,87,65
"site_124",59.3096945822442,-151.673304285544,0,108,110,3644,19020300,200,16,4000,81,85
"site_125",59.9238727419967,-151.613206993036,0,101,110,3677,19020300,0,3,5000,93,15
"site_126",62.4018754532404,-151.305174682112,0,104,110,3679,19020504,200,16,8000,88,45
"site_127",60.2540036089106,-150.49184002387,0,107,110,3679,19020302,100,24,6000,90,75
"site_128",60.3634184105164,-152.663966380871,0,106,110,3679,19020602,200,16,4000,98,65
"site_129",61.1654342961783,-148.701587494148,0,109,110,3679,19020402,200,35,1000,91,95
"site_130",59.9810055940667,-150.916832984787,0,103,110,3677,19020300,0,3,6000,92,35
"site_131",62.1838543337846,-151.121918364151,0,101,110,3677,19020504,0,24,7000,100,15
"site_132",60.5876379054326,-151.18929201046,0,104,108,3679,19020302,0,24,5000,84,45
"site_133",61.5704846577878,-151.753074682774,0,104,110,3679,19020600,200,16,6000,102,45
"site_134",60.3865949448467,-152.729453565083,0,102,110,3679,19020602,200,16,1000,94,25
"site_135",61.7356848385374,-150.949980818771,0,105,110,3677,19020504,100,24,6000,93,55
"site_136",60.3170653418558,-149.809210239468,0,106,110,3677,19020202,0,16,1000,84,65
"site_137",61.3079969317681,-150.910365114741,0,104,110,3679,19020600,0,24,5000,91,45
"site_138",59.8823705758704,-151.2396874979,0,104,109,3679,19020300,0,3,8000,98,45
"site_139",59.4856745464032,-151.217319447325,0,103,110,3644,19020300,100,16,2000,81,35
"site_140",61.7232880876165,-151.178512227051,0,106,110,3679,19020504,200,24,4000,103,65
"site_141",62.1178281604018,-150.499385872257,0,105,110,3679,19020504,200,24,8000,94,55
"site_142",61.2099009027422,-148.616696699799,0,104,110,3644,19020402,100,16,1000,95,45
"site_143",62.3404306878066,-151.168540927397,0,106,110,3600,19020504,100,16,6000,88,65
"site_144",61.8526454885297,-147.919514207794,0,105,110,3603,19020402,200,16,1000,89,55
"site_145",59.9952888070842,-151.464176487401,0,104,108,3679,19020300,0,3,6000,108,45
"site_146",59.3401474703759,-151.493820891777,0,104,110,3644,19020202,200,16,2000,65,45
"site_147",61.8386317700975,-150.118859517904,0,104,110,3679,19020504,200,24,7000,95,45
"site_148",59.9519001788613,-150.763760060373,0,106,110,3677,19020300,200,16,8000,92,65
"site_149",61.6365108311706,-150.768071973737,0,103,110,3677,19020504,0,24,6000,96,35
"site_150",62.1814288825175,-150.788014573044,0,106,110,3679,19020504,200,24,9000,96,65
"site_151",61.3017985563077,-151.646893816191,0,106,110,3679,19020600,100,16,8000,102,65
"site_152",59.2479803222252,-151.775173238763,0,108,111,3644,19020300,200,16,1000,77,85
"site_153",60.90456353767,-151.790803924707,0,104,110,3679,19020600,0,24,5000,91,45
"site_154",60.2615494572972,-150.495612948063,0,106,109,3677,19020302,100,24,8000,88,65
"site_155",61.7548189540891,-148.83552630301,0,106,109,3600,19020402,200,24,4000,82,65
"site_156",61.8041364631873,-152.116892372842,0,106,110,3679,19020504,100,16,1000,99,65
"site_157",60.9344774366312,-151.988882444855,0,102,110,3677,19020600,0,24,6000,93,25
"site_158",59.3385305028644,-151.876772697397,0,108,110,3644,19020300,100,16,4000,87,85
"site_159",61.8052144415282,-150.934080638242,0,101,110,3677,19020504,0,24,7000,102,15
"site_160",60.7498736457446,-150.7085136704,0,106,110,3679,19020302,200,24,6000,76,65
"site_161",59.9729207565096,-150.845686414285,0,104,110,3679,19020300,100,16,7000,90,45
"site_162",59.5269072179443,-150.56029164852,0,108,110,3644,19020202,200,16,1000,83,85
"site_163",61.3023375454781,-150.980164212317,0,104,109,3679,19020600,0,24,5000,87,45
"site_164",61.3144648018137,-151.086614573486,0,105,110,3679,19020600,200,24,9000,108,55
"site_165",59.9203693123887,-151.011964573375,0,104,110,3679,19020300,200,16,8000,95,45
"site_166",60.5396678692607,-152.387464936419,0,106,110,3679,19020600,200,24,1000,87,65
"site_167",60.5121794215666,-152.396088763147,0,109,111,3644,19020600,200,24,1000,96,95
"site_168",61.8828288820762,-151.142399952629,0,104,110,3677,19020504,0,24,8000,97,45
"site_169",59.4339315860379,-151.688665476902,0,101,110,3644,19020300,200,16,4000,86,15
"site_170",62.2194276190357,-150.750554825696,0,106,110,3600,19020504,100,24,1000,103,65
"site_171",61.4826294230009,-150.573227388611,0,106,110,3679,19020504,0,24,5000,94,65
"site_172",59.2819366399649,-151.967322878036,0,108,110,3644,19020300,0,16,1000,102,85
"site_173",60.7218462088801,-150.09137107021,0,103,109,3679,19020302,200,24,6000,90,35
"site_174",61.5637472931569,-151.004688219574,0,101,110,3677,19020600,200,24,4000,114,15
"site_175",62.2364057779056,-151.672495801788,0,106,109,3677,19020504,200,16,7000,96,65
"site_176",61.547847112628,-151.636114032782,0,104,110,3679,19020504,100,16,4000,97,45
"site_177",61.3726756322247,-149.558580275198,0,101,110,3677,19020400,0,24,1000,84,15
"site_178",59.6029046909808,-150.54897287594,0,104,110,3644,19020202,200,16,1000,70,45
"site_179",59.9421983737928,-149.764204643733,0,108,110,3644,19020202,100,35,1000,77,85
"site_180",59.7233687705812,-151.272835331884,0,104,110,3679,19020300,200,16,8000,92,45
"site_181",60.1038951249343,-150.969384428908,0,103,110,3677,19020300,0,3,6000,90,35
"site_182",61.2991036104553,-149.431109336382,0,106,109,3677,19020400,200,24,1000,84,65
"site_183",60.2461882659388,-152.710588944117,0,104,110,3644,19020602,0,16,6000,92,45
"site_184",59.8845265325523,-151.074217822565,0,102,110,3677,19020300,0,16,6000,94,25
"site_185",62.0402137198539,-149.811096701564,0,106,110,3679,19020504,200,24,7000,81,65
"site_186",62.1601388102839,-151.480885151686,0,105,110,3677,19020504,200,16,7000,82,55
"site_187",59.790472922305,-151.104940205282,0,105,110,3679,19020300,200,16,9000,95,55
"site_188",59.7443893482296,-150.009444716298,0,109,110,3644,19020202,100,35,6000,78,95
"site_189",61.8318944054666,-151.552031722188,0,106,110,3677,19020504,100,16,1000,102,65
